feature,mean_abs_shap
num__EXT_SOURCE_3,0.36523084145878004
num__EXT_SOURCE_2,0.3418921642755176
num__EXT_SOURCE_1,0.15224301490192485
num__AMT_GOODS_PRICE,0.15144644989261175
num__AMT_CREDIT,0.12467565841649517
cat__CODE_GENDER,0.11275912119512013
num__DAYS_EMPLOYED,0.10908939587883423
cat__NAME_EDUCATION_TYPE,0.10113365269238919
num__DAYS_BIRTH,0.08026348731084992
num__AMT_ANNUITY,0.07599591795987591
cat__FLAG_OWN_CAR,0.05574967836828643
num__DAYS_ID_PUBLISH,0.0532585097439612
num__OWN_CAR_AGE,0.04539531395798091
cat__NAME_CONTRACT_TYPE,0.04501960747416359
cat__NAME_FAMILY_STATUS,0.043248733306093426
num__FLAG_DOCUMENT_3,0.03914658666431597
cat__NAME_INCOME_TYPE,0.03480474600660024
num__AMT_REQ_CREDIT_BUREAU_QRT,0.03391477786143254
num__DAYS_LAST_PHONE_CHANGE,0.03269686345865008
num__REGION_RATING_CLIENT_W_CITY,0.03129160641122133
